,Reporter Code,Reporter,Partner Code,Partner,Trade Flow,Trade Value (US$),Trade Quantity,NetWeight
403,392,Japan,410,Rep. of Korea,Import,15695175,6381000,6381000.0
404,392,Japan,484,Mexico,Import,20200789,10479000,10479000.0
405,392,Japan,490,"Other Asia, nes",Import,195435920,43582000,43582000.0
406,392,Japan,591,Panama,Import,530187901,226475000,226475000.0
407,392,Japan,598,Papua New Guinea,Import,629042576,201673000,201673000.0
408,392,Japan,604,Peru,Import,1291279560,609240000,609240000.0
409,392,Japan,608,Philippines,Import,185707547,61086000,61086000.0
410,392,Japan,682,Saudi Arabia,Import,78816494,36937000,36937000.0
411,392,Japan,842,USA,Import,376039163,159120000,159120000.0
412,404,Kenya,0,World,Export,1126443,2272640,2272640.0
413,404,Kenya,156,China,Export,893898,1457620,1457620.0
414,404,Kenya,180,Dem. Rep. of the Congo,Export,7392,25000,25000.0
415,404,Kenya,344,"China, Hong Kong SAR",Export,225151,790020,790020.0
416,417,Kyrgyzstan,0,World,Export,20979363,12480758,12480758.0
417,417,Kyrgyzstan,156,China,Export,20979363,12480758,12480758.0
418,422,Lebanon,0,World,Import,4937,800,800.0
419,422,Lebanon,381,Italy,Import,4937,800,800.0
420,428,Latvia,0,World,Import,121896,138853,138853.0
421,428,Latvia,440,Lithuania,Import,121896,138853,138853.0
422,440,Lithuania,0,World,Import,240563,277742,277742.0
423,440,Lithuania,0,World,Export,296490,277742,277742.0
424,440,Lithuania,428,Latvia,Import,155939,138889,138889.0
425,440,Lithuania,428,Latvia,Export,140551,138853,138853.0
426,440,Lithuania,643,Russian Federation,Export,155939,138889,138889.0
427,440,Lithuania,784,United Arab Emirates,Import,84624,138853,138853.0
428,442,Luxembourg,0,World,Import,7164,412,412.0
429,442,Luxembourg,251,France,Import,3010,300,300.0
430,442,Luxembourg,276,Germany,Import,4133,110,110.0
431,442,Luxembourg,682,Saudi Arabia,Import,20,2,2.0
432,458,Malaysia,0,World,Import,693866416,590233292,590233292.0
433,458,Malaysia,0,World,Export,303793347,180441636,180441636.0
434,458,Malaysia,8,Albania,Import,2732481,2791140,2791140.0
435,458,Malaysia,36,Australia,Import,74394646,24597800,24597800.0
436,458,Malaysia,76,Brazil,Import,44248312,27002000,27002000.0
437,458,Malaysia,116,Cambodia,Export,17279,12682,12682.0
438,458,Malaysia,124,Canada,Import,22502,43809,43809.0
439,458,Malaysia,152,Chile,Import,135380291,62650800,62650800.0
440,458,Malaysia,156,China,Import,317058,286378,286378.0
441,458,Malaysia,156,China,Export,287768328,169570000,169570000.0
442,458,Malaysia,214,Dominican Rep.,Import,13694506,9573930,9573930.0
443,458,Malaysia,360,Indonesia,Import,278822599,399312000,399312000.0
444,458,Malaysia,360,Indonesia,Export,364910,700631,700631.0
445,458,Malaysia,392,Japan,Export,4208,3700,3700.0
446,458,Malaysia,410,Rep. of Korea,Export,1228176,2959360,2959360.0
447,458,Malaysia,528,Netherlands,Import,11591,10000,10000.0
448,458,Malaysia,604,Peru,Import,54161637,31423100,31423100.0
449,458,Malaysia,682,Saudi Arabia,Import,41901503,6569440,6569440.0
450,458,Malaysia,699,India,Export,14337126,7135000,7135000.0
451,458,Malaysia,702,Singapore,Export,2022,2900,2900.0
452,458,Malaysia,710,South Africa,Import,1288787,296137,296137.0
453,458,Malaysia,757,Switzerland,Import,34277085,13558400,13558400.0
454,458,Malaysia,764,Thailand,Export,71296,57362,57362.0
455,458,Malaysia,792,Turkey,Import,12302341,11843900,11843900.0
456,458,Malaysia,826,United Kingdom,Import,283695,220900,220900.0
457,458,Malaysia,842,USA,Import,27376,53558,53558.0
