8.000000000000000000e+00,1.560000000000000000e+02,1.140402400000000000e+07,1.433567900000000000e+07
3.200000000000000000e+01,1.000000000000000000e+02,6.931217600000000000e+07,3.701800000000000000e+07
3.200000000000000000e+01,2.760000000000000000e+02,2.208508580000000000e+08,1.212481500000000000e+08
3.200000000000000000e+01,3.440000000000000000e+02,1.500000000000000000e+03,1.000000000000000000e+03
3.200000000000000000e+01,3.920000000000000000e+02,7.898022700000000000e+07,4.011980000000000000e+07
3.200000000000000000e+01,7.240000000000000000e+02,1.029857700000000000e+08,5.946925000000000000e+07
6.800000000000000000e+01,3.200000000000000000e+01,5.430800000000000000e+04,3.571370000000000000e+05
5.100000000000000000e+01,1.000000000000000000e+02,3.926489900000000000e+07,4.151226200000000000e+07
5.100000000000000000e+01,1.560000000000000000e+02,1.564462380000000000e+08,1.373067700000000000e+08
5.100000000000000000e+01,2.680000000000000000e+02,6.936294800000000000e+07,6.376741300000000000e+07
5.100000000000000000e+01,5.280000000000000000e+02,1.050000000000000000e+02,7.840000000000000000e+02
5.100000000000000000e+01,6.420000000000000000e+02,1.917513000000000000e+07,1.898189500000000000e+07
5.100000000000000000e+01,6.880000000000000000e+02,1.778124000000000000e+07,1.380890800000000000e+07
5.100000000000000000e+01,7.240000000000000000e+02,1.862680700000000000e+07,1.757026800000000000e+07
5.100000000000000000e+01,7.570000000000000000e+02,1.483860400000000000e+07,1.247795300000000000e+07
5.100000000000000000e+01,8.260000000000000000e+02,4.000000000000000000e+01,8.000000000000000000e+00
1.560000000000000000e+02,5.100000000000000000e+01,1.378000000000000000e+03,2.900000000000000000e+01
2.680000000000000000e+02,5.100000000000000000e+01,6.380000000000000000e+02,2.050000000000000000e+02
5.160000000000000000e+02,5.100000000000000000e+01,4.410000000000000000e+02,6.200000000000000000e+01
3.100000000000000000e+01,2.680000000000000000e+02,5.714730000000000000e+06,4.805231000000000000e+06
8.260000000000000000e+02,3.100000000000000000e+01,4.880000000000000000e+02,2.500000000000000000e+01
3.600000000000000000e+01,5.600000000000000000e+01,1.939165000000000000e+06,3.592500000000000000e+05
3.600000000000000000e+01,1.000000000000000000e+02,1.083420720000000000e+08,3.337946500000000000e+07
3.600000000000000000e+01,1.240000000000000000e+02,5.332780000000000000e+05,1.268340000000000000e+05
3.600000000000000000e+01,1.560000000000000000e+02,1.184991235000000000e+09,8.615347530000000000e+08
3.600000000000000000e+01,3.440000000000000000e+02,4.259740000000000000e+05,2.068810000000000000e+05
3.600000000000000000e+01,3.600000000000000000e+02,1.097245800000000000e+07,1.023492000000000000e+07
3.600000000000000000e+01,3.920000000000000000e+02,1.171654090000000000e+09,4.654108230000000000e+08
3.600000000000000000e+01,4.100000000000000000e+02,4.623948840000000000e+08,1.575662400000000000e+08
3.600000000000000000e+01,4.580000000000000000e+02,2.452117100000000000e+07,1.854835000000000000e+07
3.600000000000000000e+01,4.780000000000000000e+02,1.536000000000000000e+03,1.100000000000000000e+01
