Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,826,United Kingdom,GBR,C20,CPC N.E.S.,0,All MOTs,260300,Copper ores and concentrates,8,kg,0,8,kg,0.7,0,0,79,79.37,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,528,Netherlands,NLD,C20,CPC N.E.S.,0,All MOTs,260300,Copper ores and concentrates,8,kg,15,8,kg,15.4,15,0,677,677.86,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,268,Georgia,GEO,C20,CPC N.E.S.,0,All MOTs,260300,Copper ores and concentrates,8,kg,19,8,kg,19.25,19,0,329,329.8,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,528,Netherlands,NLD,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,15,8,kg,15.4,15,0,677,677.86,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,268,Georgia,GEO,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,19,8,kg,19.25,19,0,329,329.8,0,0
H5,2019,2019,2019,6,1,0,M,31,Azerbaijan,AZE,0,World,W00,826,United Kingdom,GBR,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,0,8,kg,0.7,0,0,79,79.37,0,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,702,Singapore,SGP,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,240829,8,kg,240829,240829,0,419159,0,419159.21,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,860,Uzbekistan,UZB,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,11812800,8,kg,11812800,11812800,0,17248944,0,17248944.96,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,702,Singapore,SGP,C03,Outright exportation,0,All MOTs,260300,Copper ores and concentrates,8,kg,240829,8,kg,240829,240829,0,419159,0,419159.21,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,860,Uzbekistan,UZB,C03,Outright exportation,0,All MOTs,260300,Copper ores and concentrates,8,kg,11812800,8,kg,11812800,11812800,0,17248944,0,17248944.96,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,702,Singapore,SGP,C03,Outright exportation,3200,Road,260300,Copper ores and concentrates,8,kg,240829,8,kg,240829,240829,0,419159,0,419159.21,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,702,Singapore,SGP,C00,All CPCs,3200,Road,260300,Copper ores and concentrates,8,kg,240829,8,kg,240829,240829,0,419159,0,419159.21,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,860,Uzbekistan,UZB,C00,All CPCs,3100,Railway,260300,Copper ores and concentrates,8,kg,11812800,8,kg,11812800,11812800,0,17248944,0,17248944.96,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,860,Uzbekistan,UZB,C03,Outright exportation,3100,Railway,260300,Copper ores and concentrates,8,kg,11812800,8,kg,11812800,11812800,0,17248944,0,17248944.96,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,757,Switzerland,CHE,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,2400880,8,kg,2400880,2400880,0,3043343,0,3043343.2,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,757,Switzerland,CHE,C03,Outright exportation,0,All MOTs,260300,Copper ores and concentrates,8,kg,2400880,8,kg,2400880,2400880,0,3043343,0,3043343.2,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,757,Switzerland,CHE,C03,Outright exportation,3200,Road,260300,Copper ores and concentrates,8,kg,2400880,8,kg,2400880,2400880,0,3043343,0,3043343.2,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,757,Switzerland,CHE,C00,All CPCs,3200,Road,260300,Copper ores and concentrates,8,kg,2400880,8,kg,2400880,2400880,0,3043343,0,3043343.2,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,0,World,W00,C03,Outright exportation,3100,Railway,260300,Copper ores and concentrates,8,kg,11812800,8,kg,11812800,11812800,0,17248944,0,17248944.96,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,0,World,W00,C00,All CPCs,3100,Railway,260300,Copper ores and concentrates,8,kg,11812800,8,kg,11812800,11812800,0,17248944,0,17248944.96,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,0,World,W00,C03,Outright exportation,3200,Road,260300,Copper ores and concentrates,8,kg,2641709,8,kg,2641709,2641709,0,3462502,0,3462502.41,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,0,World,W00,C00,All CPCs,3200,Road,260300,Copper ores and concentrates,8,kg,2641709,8,kg,2641709,2641709,0,3462502,0,3462502.41,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,0,World,W00,C03,Outright exportation,0,All MOTs,260300,Copper ores and concentrates,8,kg,14454509,8,kg,14454509,14454509,0,20711447,0,20711447.37,0
H5,2019,2019,2019,6,1,0,X,31,Azerbaijan,AZE,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,14454509,8,kg,14454509,14454509,0,20711447,0,20711447.37,0
H5,2019,2019,2019,6,1,0,M,32,Argentina,ARG,0,World,W00,276,Germany,DEU,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,-1,N/A,0,-1,N/A,0,,0,21,21.8,21.23,6
H5,2019,2019,2019,6,1,0,M,32,Argentina,ARG,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,-1,N/A,0,-1,N/A,0,,0,21,21.8,21.23,6
H5,2019,2019,2019,6,1,0,X,36,Australia,AUS,0,World,W00,0,World,W00,C00,All CPCs,9900,Other,260300,Copper ores and concentrates,8,kg,1925623480,21,1000 KG,1925623.48,1925623480,1945007180,4310271390,,4310271390.674,0
H5,2019,2019,2019,6,1,0,X,36,Australia,AUS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,1925623480,21,1000 KG,1925623.48,1925623480,1945007180,4310271390,,4310271390.674,0
H5,2019,2019,2019,6,1,0,M,36,Australia,AUS,0,World,W00,0,World,W00,C00,All CPCs,1000,Air,260300,Copper ores and concentrates,8,kg,2150,8,kg,2150.16,2150,2194,20218,20218.421,14891.506,0
H5,2019,2019,2019,6,1,0,M,36,Australia,AUS,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,41800800,8,kg,41800800.16,41800800,0,59103547,59103547.995,57366481.923,0
H5,2019,2019,2019,6,1,0,M,36,Australia,AUS,0,World,W00,0,World,W00,C00,All CPCs,2100,Sea,260300,Copper ores and concentrates,8,kg,41798650,8,kg,41798650,41798650,0,59083329,59083329.574,57351590.418,0
H5,2019,2019,2019,6,1,0,M,40,Austria,AUT,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,3459,8,kg,3459,3459,0,23533,23533.79,,0
H5,2019,2019,2019,6,1,0,FM,51,Armenia,ARM,0,World,W00,0,World,W00,C00,All CPCs,0,All MOTs,260300,Copper ores and concentrates,8,kg,10899,8,kg,10899,10899,0,3814,3814.65,,0
H5,2019,2019,2019,6,1,0,FM,51,Armenia,ARM,0,World,W00,0,World,W00,C00,All CPCs,3900,"Land, not else classified",260300,Copper ores and concentrates,8,kg,10899,8,kg,10899,10899,0,3814,3814.65,,0
